time,a,b,c,d,e,f,g,h,i,j,k
2005-01-01,6.884307861328125,10.344085693359375,15.34967041015625,17.968353271484375,18.657623291015625,15.8150634765625,19.246429443359375,24.42193603515625,21.211273193359375,18.96612548828125,17.16046142578125
2005-02-01,6.6812744140625,9.959991455078125,14.603271484375,17.52362060546875,18.5574951171875,15.6275634765625,19.17901611328125,23.6719970703125,20.970062255859375,19.0372314453125,17.199249267578125
2005-03-01,7.018341064453125,10.023223876953125,14.4630126953125,18.08233642578125,18.884246826171875,16.31475830078125,19.366790771484375,22.957733154296875,21.325653076171875,19.361663818359375,18.230560302734375
2005-04-01,7.370849609375,10.085174560546875,14.24359130859375,18.04644775390625,18.62274169921875,16.388671875,19.6231689453125,22.9931640625,21.5369873046875,19.845001220703125,19.2718505859375
2005-05-01,9.3994140625,11.209930419921875,15.29278564453125,19.541412353515625,19.634613037109375,16.763916015625,19.932861328125,23.43829345703125,24.60150146484375,23.85833740234375,21.39044189453125
2005-06-01,11.329833984375,12.343292236328125,16.382781982421875,19.694854736328125,19.543060302734375,16.24029541015625,19.924224853515625,23.595947265625,25.56597900390625,26.0045166015625,24.75689697265625
2005-07-01,13.63897705078125,14.630859375,17.43096923828125,20.38153076171875,20.028533935546875,17.49432373046875,21.36004638671875,24.787689208984375,28.179962158203125,28.550994873046875,27.632171630859375
2005-08-01,15.1541748046875,17.790740966796875,19.024261474609375,21.123565673828125,21.39813232421875,19.752044677734375,22.5689697265625,27.764373779296875,29.569793701171875,30.0792236328125,28.50640869140625
2005-09-01,15.114990234375,17.916961669921875,19.5341796875,21.23651123046875,21.270965576171875,19.277130126953125,23.446380615234375,29.146453857421875,30.695648193359375,29.769775390625,30.0926513671875
2005-10-01,12.423187255859375,15.44659423828125,18.98162841796875,20.912750244140625,20.9578857421875,18.230499267578125,22.1754150390625,26.734893798828125,29.231964111328125,27.897003173828125,26.311004638671875
2005-11-01,9.621673583984375,12.9986572265625,17.5408935546875,20.185882568359375,20.263275146484375,17.455169677734375,20.941619873046875,26.89019775390625,24.752166748046875,22.572540283203125,19.6251220703125
2005-12-01,8.01470947265625,11.494842529296875,16.335296630859375,19.291168212890625,19.8897705078125,15.98760986328125,19.840972900390625,24.7249755859375,21.24322509765625,18.17669677734375,17.562469482421875
2006-01-01,7.071868896484375,10.323822021484375,14.618438720703125,18.4022216796875,19.207672119140625,15.10516357421875,18.676116943359375,23.607147216796875,19.26739501953125,17.066802978515625,16.492889404296875
2006-02-01,6.301239013671875,9.399627685546875,14.40472412109375,18.2169189453125,18.70721435546875,15.21282958984375,18.3062744140625,23.03814697265625,19.47674560546875,17.4197998046875,16.88800048828125
2006-03-01,5.815887451171875,8.56243896484375,13.54229736328125,17.780914306640625,18.27056884765625,14.678436279296875,18.4302978515625,22.737457275390625,20.17059326171875,17.834197998046875,17.139923095703125
2006-04-01,6.216156005859375,8.606536865234375,13.056732177734375,17.632232666015625,17.996856689453125,15.743743896484375,19.04876708984375,24.1787109375,22.562896728515625,19.610137939453125,18.63311767578125
2006-05-01,7.07159423828125,9.817108154296875,14.351654052734375,18.12603759765625,18.3009033203125,16.33367919921875,19.16937255859375,23.874664306640625,25.539703369140625,24.55413818359375,22.210205078125
2006-06-01,9.94189453125,12.43121337890625,15.994476318359375,19.63092041015625,18.66021728515625,17.2899169921875,20.01788330078125,24.36932373046875,28.064422607421875,28.59747314453125,26.8165283203125
2006-07-01,12.169921875,15.120849609375,18.57684326171875,20.495513916015625,20.073883056640625,19.49560546875,23.34613037109375,27.62158203125,30.636138916015625,31.228271484375,29.94061279296875
2006-08-01,13.031890869140625,16.66998291015625,19.222442626953125,21.056732177734375,21.244232177734375,20.628265380859375,24.33355712890625,28.78131103515625,30.53228759765625,31.23480224609375,30.61920166015625
2006-09-01,13.36968994140625,17.18743896484375,19.564666748046875,20.974945068359375,21.2064208984375,20.29107666015625,24.5782470703125,29.575775146484375,30.143890380859375,30.459197998046875,30.128875732421875
2006-10-01,12.65911865234375,16.311370849609375,18.451873779296875,20.78143310546875,20.96575927734375,19.433624267578125,23.274200439453125,29.72711181640625,30.2169189453125,28.576171875,27.39208984375
2006-11-01,9.71527099609375,13.42462158203125,17.3626708984375,20.2786865234375,20.000030517578125,18.450897216796875,22.396728515625,28.4434814453125,27.510223388671875,24.40753173828125,24.244598388671875
2006-12-01,7.847625732421875,10.906280517578125,15.822296142578125,19.030029296875,18.94976806640625,16.161468505859375,21.62969970703125,26.74163818359375,23.724822998046875,20.447021484375,19.54010009765625
2007-01-01,6.56390380859375,9.296051025390625,14.58575439453125,17.63568115234375,17.946563720703125,14.653564453125,19.99896240234375,23.96026611328125,20.784881591796875,17.306610107421875,16.9970703125
2007-02-01,6.29119873046875,9.24847412109375,13.914276123046875,17.240020751953125,17.158447265625,14.995941162109375,19.52789306640625,22.8587646484375,20.330657958984375,17.833221435546875,16.463653564453125
2007-03-01,5.93798828125,8.8155517578125,13.91156005859375,17.1920166015625,17.623016357421875,14.733245849609375,19.529937744140625,23.3382568359375,21.38470458984375,18.78729248046875,17.999786376953125
